ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
DEYZO,42.84993333333333,-86.10327777777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42505976W086061180,SUSAEAENRT   DEYZO K50    W     N42505976W086061180                       W0054     NAR           DEYZO(CNF)               329362201,32941
DIGAW,41.76009166666667,-80.813475,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHZY,N41453633W080484851,SUSAP KHZYK5CDIGAW K50    W     N41453633W080484851                       W0089     NAR           DIGAW                    185322504,218535
DILNE,40.46794444444445,-80.87569166666665,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40280460W080523249,SUSAEAENRT   DILNE K50    C     N40280460W080523249                       W0087     NAR           DILNE                    329922203,32997
DILYN,41.36282777777778,-81.92490277777779,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCLE,N41214618W081552965,SUSAP KCLEK5CDILYN K50    C     N41214618W081552965                       W0081     NAR           DILYN                    500632504,150067
DIMDE,42.21881666666667,-85.76408888888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42130774W085455072,SUSAEAENRT   DIMDE K50    W     N42130774W085455072                       W0056     NAR           DIMDE                    329972304,33002
DINAA,41.490858333333335,-82.02168333333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCLE,N41292709W082011806,SUSAP KCLEK5CDINAA K50    W     N41292709W082011806                       W0081     NAR           DINAA                    500642008,150068
DINGY,39.84330555555556,-84.02279444444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N39503590W084012206,SUSAEAENRT   DINGY K50    R     N39503590W084012206                       W0065     NAR           DINGY-MIL                330092304,33014
DINYE,41.608975,-85.76021388888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEKM,N41363231W085453677,SUSAP KEKMK5CDINYE K50    W     N41363231W085453677                       W0055     NAR           DINYE                    816642506,181668
DIPAC,39.74070833333334,-82.38928611111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLHQ,N39442655W082232143,SUSAP KLHQK5CDIPAC K50    W     N39442655W082232143                       W0076     NAR           DIPAC                    409092304,240912
DIPNE,40.11329166666667,-83.13669166666668,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KOSU,N40064785W083081209,SUSAP KOSUK5CDIPNE K50    W     N40064785W083081209                       W0072     NAR           DIPNE                    803952605,280398
DIRKE,40.570772222222224,-83.16339166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMNN,N40341478W083094821,SUSAP KMNNK5CDIRKE K50    W     N40341478W083094821                       W0072     NAR           DIRKE                    617762304,261779
DISCI,43.86770555555555,-85.6921888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,7D3,N43520374W085413188,SUSAP 7D3 K5CDISCI K50    W     N43520374W085413188                       W0059     NAR           DISCI                    007812304,100785
DITCA,42.746158333333334,-85.72329722222223,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KORD,N42444617W085432387,SUSAP KORDK5CDITCA K50    W     N42444617W085432387                       W0057     NAR           DITCA                    774932508,277496
DIXSN,42.81231388888889,-83.90806111111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42484433W083542902,SUSAEAENRT   DIXSN K50    W   H N42484433W083542902                       W0070     NAR           DIXSN                    330582012,33063
DIYEC,40.44743055555555,-85.20072222222223,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPLD,N40265075W085120260,SUSAP KPLDK5CDIYEC K50    W     N40265075W085120260                       W0058     NAR           DIYEC                    898552605,289858
DIYZO,40.70667777777778,-83.80041666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAOH,N40422404W083480150,SUSAP KAOHK5CDIYZO K50    W     N40422404W083480150                       W0068     NAR           DIYZO                    209312403,120935
