ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
TURGE,35.322047222222224,-86.51491111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSYI,N35191937W086305368,SUSAP KSYIK7CTURGE K70    R     N35191937W086305368                       W0043     NAR           TURGE                    271152504,327117
TUSDE,34.10053611111111,-82.85771388888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEBA,N34060193W082512777,SUSAP KEBAK7CTUSDE K70    W     N34060193W082512777                       W0066     NAR           TUSDE                    794842403,179488
TUXDO,35.13986388888889,-82.40931111111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35082351W082243352,SUSAEAENRT   TUXDO K70    C   L N35082351W082243352                       W0070     NAR           TUXDO                    514092403,51414
TUZKO,34.698677777777775,-83.24155555555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCEU,N34415524W083142960,SUSAP KCEUK7CTUZKO K70    W     N34415524W083142960                       W0064     NAR           TUZKO                    463802403,146384
TWEST,32.09583333333334,-82.05305555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32054500W082031100,SUSAEAENRT   TWEST K70    W   L N32054500W082031100                       W0069     NAR           TWEST                    514242504,51429
TWINS,32.77854444444444,-82.31218055555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32464276W082184385,SUSAEAENRT   TWINS K70    W     N32464276W082184385                       W0068     NAR           TWINS                    514352504,51440
TWOUP,33.895941666666666,-83.81899722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33534539W083490839,SUSAEAENRT   TWOUP K70    W   H N33534539W083490839                       W0060     NAR           TWOUP                    514472605,51452
TYDOE,32.821375,-81.56163611111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32491695W081334189,SUSAEAENRT   TYDOE K70    W     N32491695W081334189                       W0073     NAR           TYDOE                    514542605,51459
TYFTR,32.403733333333335,-82.11999999999999,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KATL,N32241344W082071200,SUSAP KATLK7CTYFTR K70    W     N32241344W082071200                       W0069     NAR           TYFTR                    245202504,124524
TYGRR,31.95033611111111,-85.13031388888888,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31570121W085074913,SUSAEAENRT   TYGRR K70    W   L N31570121W085074913                       W0049     NAR           TYGRR                    514592504,51464
TYRES,34.459183333333335,-81.98623888888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34273306W081591046,SUSAEAENRT   TYRES K70    W     N34273306W081591046                       W0072     NAR           TYRES                    514752403,51480
UBEDY,31.06946388888889,-83.53800833333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,15J,N31041007W083321683,SUSAP 15J K7CUBEDY K70    W     N31041007W083321683                       W0059     NAR           UBEDY                    826832605,82688
UBHAF,35.498961111111115,-86.09368611111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35295626W086053727,SUSAEAENRT   UBHAF K70    W     N35295626W086053727                       W0046     NAR           UBHAF                    514972403,51502
UCALA,32.44667222222222,-83.05390277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32264802W083031405,SUSAEAENRT   UCALA K70    C   L N32264802W083031405                       W0063     NAR           UCALA                    515162504,51521
UCASI,31.83019722222222,-86.11132222222221,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KTOI,N31494871W086064076,SUSAP KTOIK7CUCASI K70    W     N31494871W086064076                       W0043     NAR           UCASI                    318512605,331853
UCELI,35.369572222222224,-86.43988611111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSYI,N35221046W086262359,SUSAP KSYIK7CUCELI K70    W     N35221046W086262359                       W0044     NAR           UCELI                    271162605,327118
UCMUK,34.584247222222224,-84.5551111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,49A,N34350329W084331840,SUSAP 49A K7CUCMUK K70    W     N34350329W084331840                       W0056     NAR           UCMUK                    924362605,92441
UFAXU,31.460902777777775,-85.61409444444443,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDHN,N31273925W085365074,SUSAP KDHNK7CUFAXU K70    C     N31273925W085365074                       W0046     NAR           UFAXU                    715322605,171536
UGAAA,33.94758888888889,-83.32456111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33565132W083192842,SUSAEAENRT   UGAAA K70    W   L N33565132W083192842                       W0063     NAR           UGAAA                    515772504,51582
UGIME,35.25237777777778,-86.6109,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFYM,N35150856W086363924,SUSAP KFYMK7CUGIME K70    W     N35150856W086363924                       W0043     NAR           UGIME                    968892605,196893
UGMUF,31.645019444444443,-86.53975555555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPRN,N31384207W086322312,SUSAP KPRNK7CUGMUF K70    W     N31384207W086322312                       W0040     NAR           UGMUF                    924422605,292445
UJOTY,34.51842222222222,-86.76816944444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHSV,N34310632W086460541,SUSAP KHSVK7CUJOTY K70    C     N34310632W086460541                       W0041     NAR           UJOTY                    157802605,215783
UKUPE,34.080525,-87.60747222222221,TERMINAL_WAYPOINT,USA,SUSAP,P,C,1M4,N34044989W087362690,SUSAP 1M4 K7CUKUPE K70    W     N34044989W087362690                       W0035     NAR           UKUPE                    845592605,84564
UKUTE,31.928169444444446,-82.68927222222223,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAZE,N31554141W082412138,SUSAP KAZEK7CUKUTE K70    W     N31554141W082412138                       W0065     NAR           UKUTE                    289742605,128978
ULASY,31.937675,-86.83094444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPRN,N31561563W086495140,SUSAP KPRNK7CULASY K70    W     N31561563W086495140                       W0038     NAR           ULASY                    924432605,292446
ULIRY,31.57263888888889,-82.53034444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAMG,N31342150W082314924,SUSAP KAMGK7CULIRY K70    W     N31342150W082314924                       W0066     NAR           ULIRY                    200292605,120033
UMABE,33.28510833333333,-87.54153333333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KTCL,N33170639W087322952,SUSAP KTCLK7CUMABE K70    W     N33170639W087322952                       W0035     NAR           UMABE                    279662605,327968
